species;taxid;taxon_group;angiosperm_group;family;genome_size;genome_Cvalue;ploidy;hcn
Pinus_massoniana;88730;Pinidae;NA;Pinaceae;NA;NA;NA;NA
Pinus_pinaster;71647;Pinidae;NA;Pinaceae;NA;NA;NA;NA
Pinus_radiata;3347;Pinidae;NA;Pinaceae;NA;NA;NA;NA
Pinus_taeda;3352;Pinidae;NA;Pinaceae;NA;NA;NA;NA
Pisum_fulvum;51020;eudicotyledons;Eudicot;Fabaceae;NA;4597;2;7
Pisum_sativum;3888;eudicotyledons;Eudicot;Fabaceae;NA;4768;2;7
Poncirus_trifoliata;37690;eudicotyledons;Eudicot;Rutaceae;NA;377;2;9
Populus_adenopoda;1536645;eudicotyledons;NA;Salicaceae;NA;NA;NA;NA
Populus_alba;43335;eudicotyledons;Eudicot;Salicaceae;NA;509;NA;NA
Populus_deltoides;3696;eudicotyledons;NA;Salicaceae;NA;NA;NA;NA
Populus_euphratica;75702;eudicotyledons;NA;Salicaceae;NA;NA;NA;NA
Populus_nigra;3691;eudicotyledons;Eudicot;Salicaceae;NA;528;NA;NA
Populus_simonii;295327;eudicotyledons;NA;Salicaceae;NA;NA;NA;NA
Populus_tremula;113636;eudicotyledons;Eudicot;Salicaceae;NA;440;2;19
Primulina_eburnea;1245227;eudicotyledons;NA;Gesneriaceae;NA;NA;NA;NA
Prunus_armeniaca;36596;eudicotyledons;Eudicot;Rosaceae;NA;293;2;8
Prunus_avium;42229;eudicotyledons;Eudicot;Rosaceae;NA;342;NA;NA
Prunus_dulcis;3755;eudicotyledons;Eudicot;Rosaceae;NA;323;2;8
Prunus_kansuensis;329890;eudicotyledons;Eudicot;Rosaceae;NA;293;2;8
Prunus_mume;102107;eudicotyledons;NA;Rosaceae;NA;NA;NA;NA
Prunus_persica;3760;eudicotyledons;Eudicot;Rosaceae;NA;269;2;8
Prunus_salicina;88123;eudicotyledons;NA;Rosaceae;NA;NA;NA;NA
Punica_granatum;22663;eudicotyledons;Eudicot;Lythraceae;NA;704;2;8
Pyrus_communis;23211;eudicotyledons;Eudicot;Rosaceae;NA;538;NA;NA
Pyrus_hybrid;NA;NA;NA;NA;NA;NA;NA;NA
Pyrus_sp;NA;NA;NA;NA;NA;NA;NA;NA
Quercus_sp;2506272;eudicotyledons;NA;Fagaceae;NA;NA;NA;NA
Raphanus_sativus;3726;eudicotyledons;Eudicot;Brassicaceae;NA;538;2;9
Ricinus_communis;3988;eudicotyledons;Eudicot;Euphorbiaceae;NA;509;NA;NA
Rosa_chinensis;74649;eudicotyledons;Eudicot;Rosaceae;NA;562;2;7
Rosa_sp;36598;eudicotyledons;NA;Rosaceae;NA;NA;NA;NA
Rubus_idaeus;32247;eudicotyledons;Eudicot;Rosaceae;NA;293;NA;NA
Rubus_occidentalis;75079;eudicotyledons;Eudicot;Rosaceae;NA;293;2;7
Salix_purpurea;77065;eudicotyledons;Eudicot;Salicaceae;NA;460;2;19
Salvia_miltiorrhiza;226208;eudicotyledons;NA;Lamiaceae;NA;NA;NA;NA
Secale_cereale;4550;Liliopsida;Monocot;Poaceae;NA;8093;2;7
Sesamum_indicum;4182;eudicotyledons;Eudicot;Pedaliaceae;NA;949;2;13
