"id";"valid";"ref";"year";"species";"taxid";"taxon";"taxon_group";"family";"marker_type";"nb_markers";"sex";"crossing";"n_progeny";"n_meiosis";"linkage_map_length";"physical_length";"map_quality";"mapping_function";"accession";"link_genome";"ref_genome";"genome_size";"genome_Cvalue";"ploidy";"hcn";"original_map";"public_database";"ABH_data";"MapMaker_data";"link_data";"doi";"contact"
"Brassica_napus_Zhao2016";"FALSE";"Zhao";2016;"Brassica_napus";3708;"Angiosperm";1;"Brassicaceae";"NA";389;"NA";"NA";"NA";"NA";"1784.04";"NA";"NA";"NA";"NA";"NA";"NA";"762.8";1125;4;9;"NA";"NA";"NA";"NA";"https://www.frontiersin.org/articles/file/downloadfile/166155_supplementary-materials_tables_1_xlsx/octet-stream/Table%201.XLSX/1/166155";"https://doi.org/10.3389/fpls.2016.00017";"NA"
"Brassica_napus_Sun2016_G1";"FALSE";"Sun";2016;"Brassica_napus";3708;"Angiosperm";1;"Brassicaceae";"NA";1349;"NA";"NA";"NA";"NA";"2183.592";589112825;"NA";"NA";"NA";"NA";"NA";"NA";1125;4;9;"marey";"NA";"NA";"NA";"https://ars.els-cdn.com/content/image/1-s2.0-S0168945216304162-mmc6.xlsx";"https://doi.org/10.1016/j.plantsci.2016.09.001";"NA"
"Brassica_napus_Sun2016_G2";"FALSE";"Sun";2016;"Brassica_napus";3708;"Angiosperm";1;"Brassicaceae";"NA";1402;"NA";"NA";"NA";"NA";"2137.787";578320949;"NA";"NA";"NA";"NA";"NA";"NA";1125;4;9;"marey";"NA";"NA";"NA";"https://ars.els-cdn.com/content/image/1-s2.0-S0168945216304162-mmc6.xlsx";"https://doi.org/10.1016/j.plantsci.2016.09.001";"NA"
"Brassica_napus_Zhao2019";"FALSE";"Zhao";2019;"Brassica_napus";3708;"Angiosperm";1;"Brassicaceae";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";1125;4;9;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1007%2Fs11032-019-0988-1/MediaObjects/11032_2019_988_MOESM7_ESM.xlsx";"https://doi.org/10.1007/s11032-019-0988-1";"NA"
"Brassica_oleracea_Wang2012";"FALSE";"Wang";2012;"Brassica_oleracea";3712;"Angiosperm";1;"Brassicaceae";"SSR-SNP";1227;"NA";"NA";"NA";"NA";"1197.762";"NA";"NA";"NA";"NA";"NA";"NA";"NA";758;"NA";"NA";"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1186%2F1471-2164-13-523/MediaObjects/12864_2012_4560_MOESM1_ESM.xls";"https://doi.org/10.1186/1471-2164-13-523";"NA"
"NA";"FALSE";"Yu";2016;"Brassica_rapa";3711;"Angiosperm";1;"Brassicaceae";"NA";"NA";"NA";"NA";"NA";"NA";"858.98";"NA";"NA";"NA";"NA";"NA";"NA";"782.4";782;2;10;"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"Cajanus_cajan_Bohra2012";"FALSE";"Bohra";2012;"Cajanus_cajan";3821;"Angiosperm";1;"Fabaceae";"NA";339;"NA";"NA";"NA";"NA";"1058.98";"NA";"NA";"NA";"NA";"NA";"NA";"860.64";856;2;11;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-012-1916-5/MediaObjects/122_2012_1916_MOESM4_ESM.xls";"https://doi.org/10.1007/s00122-012-1916-5";"NA"
"NA";"FALSE";"Saxena";2017;"Cajanus_cajan";3821;"Angiosperm";1;"Fabaceae";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";856;2;11;"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1038/s41598-017-01537-2";"NA"
"Cajanus_cajan_Yadav2019";"FALSE";"Yadav";2019;"Cajanus_cajan";3821;"Angiosperm";1;"Fabaceae";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";856;2;11;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1186%2Fs12864-019-5595-3/MediaObjects/12864_2019_5595_MOESM2_ESM.xlsx";"https://doi.org/10.1186/s12864-019-5595-3";"NA"
"NA";"FALSE";"Gehringer";2006;"Camelina_sativa";90675;"Angiosperm";1;"Brassicaceae";"NA";"NA";"NA";"NA";"NA";"NA";"1385.6";"NA";"NA";"NA";"NA";"NA";"NA";"641.356";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1139/g06-117";"NA"
"NA";"FALSE";"Taniguchi";2012;"Camellia_sinensis";4442;"Angiosperm";1;"Theaceae";"NA";"NA";"NA";"NA";"NA";"NA";1218;"NA";"NA";"NA";"NA";"NA";"NA";"3814.2";3817;2;15;"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1270/jsbbs.62.263";"NA"
"NA";"FALSE";"Linde";2001;"Capsella_bursa-pastoris";3719;"Angiosperm";1;"Brassicaceae";"NA";"NA";"NA";"NA";"NA";"NA";"1064.4";"NA";"NA";"NA";"NA";"NA";"NA";"391.2";391;4;8;"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1006/anbo.2000.1308";"NA"
"Capsicum_annuum_Han2016";"TRUE";"Han";2016;"Capsicum_annuum";4072;"Angiosperm";1;"Solanaceae";"SNP";2578;"NA";"RIL";120;"NA";"1372.2";2752801145;"NA";"kosambi";"GCA_002878395.2";"NA";"v2.0";"3090.48";3090;2;12;"marey";"NA";"NA";"NA";"https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/dnaresearch/23/2/10.1093_dnares_dsv038/2/dsv038_Supplementary_Data.zip?Expires=1575756184&Signature=F5jsjYyOEQUoSiOCSSqa7Gu6aTebOh1Ox21FCMJBN~Tr5spKoAPn6NlqYdJ0BsOVL7-DUcy~8ZpNFTN-9WOlXgHqcQBpjKTErGQ~YyZivncFRrkUgu4KMtNTq-yuxI8z1xXgM964wGVpwhEku7fAwK24u3ZzGvQpdaKqil4wEwDAbxZzCo0MTgjo9b4Zijbi0XFspvSAhXmN9q~5JUEEyw7xju1zppkNqgvaQdzvYV~Zf~XIDjFYii-md-kDNYwgYzqdFMGX27jsRwPb7NHRmIwfalVXiroYGB29glVuFPo88RdS4uL-2Za-I0wBIz6R1hk87~bGtoi8uKtGLrD8XA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA";"https://doi.org/10.1093/dnares/dsv038";"NA"
"Capsicum_annuum_Zhang2019";"FALSE";"Zhang";2019;"Capsicum_annuum";4072;"Angiosperm";1;"Solanaceae";"NA";9330;"NA";"NA";"NA";"NA";"2009.706";"NA";"NA";"NA";"NA";"NA";"NA";"NA";3090;2;12;"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1186/s12870-019-1753-7";"NA"
"Capsicum_baccatum_Lee2016";"FALSE";"Lee";2016;"Capsicum_baccatum";33114;"Angiosperm";1;"Solanaceae";"NA";"NA";"NA";"NA";"NA";"NA";1056;"NA";"NA";"NA";"NA";"NA";"NA";"3628.38";3628;2;12;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1007%2Fs11032-016-0485-8/MediaObjects/11032_2016_485_MOESM1_ESM.xlsx";"https://doi.org/10.1007/s11032-016-0485-8";"NA"
